,city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
25062,Liberty Triangle,Liberty Triangle,29.076,-82.2191,United States,US,USA,Florida,,21409.0,1840152944
25070,Bloomfield,Bloomfield,41.8426,-72.7406,United States,US,USA,Connecticut,,21399.0,1840004778
25074,Lorton,Lorton,38.6983,-77.2164,United States,US,USA,Virginia,,21394.0,1840006035
25082,Lakeside,Lakeside,32.856,-116.904,United States,US,USA,California,,21383.0,1840018025
25083,St. Andrews,St. Andrews,34.051,-81.1057,United States,US,USA,South Carolina,,21383.0,1840135211
25089,Park Forest,Park Forest,41.4817,-87.6867,United States,US,USA,Illinois,,21368.0,1840011313
25096,South Lake Tahoe,South Lake Tahoe,38.9393,-119.9828,United States,US,USA,California,,21355.0,1840021471
25099,Ashland,Ashland,42.1905,-122.6992,United States,US,USA,Oregon,,21348.0,1840018674
25108,Grand Island,Grand Island,43.0198,-78.9619,United States,US,USA,New York,,21340.0,1840087480
25112,Dickinson,Dickinson,29.4548,-95.0589,United States,US,USA,Texas,,21336.0,1840019667
25133,Silverdale,Silverdale,47.6663,-122.6828,United States,US,USA,Washington,,21301.0,1840018406
25149,Baldwin,Baldwin,40.369,-79.9669,United States,US,USA,Pennsylvania,,21274.0,1840001201
25160,Selden,Selden,40.8714,-73.0466,United States,US,USA,New York,,21265.0,1840005093
25161,Moorestown,Moorestown,39.9784,-74.9413,United States,US,USA,New Jersey,,21265.0,1840081626
25174,Carrboro,Carrboro,35.9259,-79.0878,United States,US,USA,North Carolina,,21237.0,1840015334
25188,Westborough,Westborough,42.2681,-71.614,United States,US,USA,Massachusetts,,21213.0,1840053611
25193,Monroe,Monroe,41.3043,-74.1941,United States,US,USA,New York,,21206.0,1840004874
25202,Pleasant Prairie,Pleasant Prairie,42.5266,-87.8895,United States,US,USA,Wisconsin,,21193.0,1840003163
25204,Seymour,Seymour,38.9476,-85.8911,United States,US,USA,Indiana,,21192.0,1840009708
25210,Gardner,Gardner,42.5845,-71.9868,United States,US,USA,Massachusetts,,21183.0,1840000436
25212,East Moline,East Moline,41.5199,-90.3879,United States,US,USA,Illinois,,21181.0,1840008180
25214,Lino Lakes,Lino Lakes,45.1679,-93.083,United States,US,USA,Minnesota,,21180.0,1840008902
25254,Hyde Park,Hyde Park,41.8011,-73.906,United States,US,USA,New York,,21115.0,1840058196
25259,Milwaukie,Milwaukie,45.4445,-122.6219,United States,US,USA,Oregon,,21108.0,1840019952
25266,Payson,Payson,40.0355,-111.739,United States,US,USA,Utah,,21093.0,1840020172
25268,Louisville,Louisville,39.971,-105.1441,United States,US,USA,Colorado,,21091.0,1840020179
25295,Ludlow,Ludlow,42.1921,-72.458,United States,US,USA,Massachusetts,,21050.0,1840053449
25298,Lindenwold,Lindenwold,39.8173,-74.9898,United States,US,USA,New Jersey,,21048.0,1840000730
25316,Clemmons,Clemmons,36.0319,-80.3861,United States,US,USA,North Carolina,,21032.0,1840017728
25349,Merrick,Merrick,40.6515,-73.5535,United States,US,USA,New York,,20990.0,1840005238
25385,Harvey,Harvey,29.8876,-90.0666,United States,US,USA,Louisiana,,20942.0,1840013985
25390,Upper St. Clair,Upper St. Clair,40.3336,-80.0842,United States,US,USA,Pennsylvania,,20938.0,1840005397
25404,Rio Rico,Rio Rico,31.4957,-110.9885,United States,US,USA,Arizona,,20914.0,1840027004
25412,South Whitehall,South Whitehall,40.6154,-75.5503,United States,US,USA,Pennsylvania,,20898.0,1840148586
25424,East Pennsboro,East Pennsboro,40.2886,-76.9394,United States,US,USA,Pennsylvania,,20886.0,1840143336
25427,Wade Hampton,Wade Hampton,34.8821,-82.3336,United States,US,USA,South Carolina,,20879.0,1840035800
25429,Lockport,Lockport,43.1698,-78.6956,United States,US,USA,New York,,20876.0,1840000370
25433,Ozark,Ozark,37.0365,-93.2158,United States,US,USA,Missouri,,20874.0,1840009926
25434,Hays,Hays,38.8821,-99.3221,United States,US,USA,Kansas,,20870.0,1840001628
25440,Makakilo,Makakilo,21.3591,-158.0813,United States,US,USA,Hawaii,,20862.0,1840137080
